S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
34,Andaman & Nicobar Islands,North & Middle Andaman,Swadeshnagar,92.8924,12.6508,2023,8.23,385,0,177,28,0.10,20,1,0.03,170,20,29,13,2,0.00,-,-
35,Andaman & Nicobar Islands,North & Middle Andaman,Tikadera,92.8140,12.5228,2023,8.16,271,0,49,32,0.00,39,2,0.06,40,10,4,40,1,0.22,-,-
36,Andaman & Nicobar Islands,North & Middle Andaman,Tugapur No. 8,92.8224,12.8196,2023,7.96,358,0,171,21,0.04,17,2,0.06,170,44,15,8,1,1.49,-,-
37,Andaman & Nicobar Islands,North & Middle Andaman,Uttara,92.7901,12.3280,2023,8.18,405,0,183,18,0.07,29,1,0.06,155,24,23,17,1,0.00,-,-
38,Andaman & Nicobar Islands,North & Middle Andaman,Webi (Debipur),92.8720,12.8669,2023,8.11,190,0,37,18,0.03,12,25,0.00,35,8,4,9,36,0.09,-,-
39,Andaman & Nicobar Islands,South Andaman,6½ No. Forest Camp,92.9671,12.0080,2023,8.24,368,0,128,53,0.00,0,5,0.10,90,20,10,40,5,1.27,-,-
40,Andaman & Nicobar Islands,South Andaman,Annikat,92.6482,11.7075,2023,8.24,342,0,153,18,0.00,27,1,0.05,145,22,22,16,1,2.28,-,-
41,Andaman & Nicobar Islands,South Andaman,Austinabad (Port Blair),92.7347,11.6351,2023,8.14,278,0,110,28,0.05,12,0,0.00,100,16,15,20,1,0.00,-,-
42,Andaman & Nicobar Islands,South Andaman,Bambooflat,92.7150,11.7055,2023,8.18,515,0,256,32,0.14,22,0,0.00,180,30,26,38,2,0.83,-,-
43,Andaman & Nicobar Islands,South Andaman,Beadnabad Tubewell,92.7339,11.5856,2023,8.22,307,0,116,28,0.00,5,13,0.02,115,24,13,17,4,0.44,-,-
44,Andaman & Nicobar Islands,South Andaman,Bharatpur,93.0384,11.8304,2023,7.98,329,0,146,25,0.34,17,0,0.05,145,14,27,12,0,0.04,-,-
45,Andaman & Nicobar Islands,South Andaman,Bharatpur,93.0447,11.8362,2023,7.63,384,0,134,32,0.49,25,3,0.07,130,18,21,28,4,0.00,-,-
46,Andaman & Nicobar Islands,South Andaman,Bindraban,92.6674,11.7220,2023,8.23,450,0,146,39,0.02,44,0,0.04,175,16,33,26,2,0.82,-,-
47,Andaman & Nicobar Islands,South Andaman,Brichganj,92.7377,11.6150,2023,8.16,292,0,159,14,0.13,7,0,0.00,135,24,18,9,0,0.00,-,-
48,Andaman & Nicobar Islands,South Andaman,Brookshabad (Port Blair),92.7404,11.6380,2023,8.07,526,0,293,21,0.09,17,0,0.00,235,38,34,20,2,0.04,-,-
49,Andaman & Nicobar Islands,South Andaman,Burmanala,92.7294,11.5580,2023,8.27,376,0,189,25,0.09,15,0,0.00,155,30,19,19,0,0.09,-,-
50,Andaman & Nicobar Islands,South Andaman,Calicut,92.7264,11.6074,2023,8.17,394,0,201,21,0.08,16,0,0.00,160,32,19,19,0,0.26,-,-
51,Andaman & Nicobar Islands,South Andaman,Calicut Borewell,92.7195,11.6001,2023,8.05,330,0,104,35,0.00,21,14,0.10,135,22,19,11,4,1.01,-,-
52,Andaman & Nicobar Islands,South Andaman,Chidiyatapu,92.7019,11.5033,2023,8.22,594,0,268,39,0.07,23,0,0.00,225,36,33,29,1,0.09,-,-
53,Andaman & Nicobar Islands,South Andaman,Chouldari 1,92.6670,11.6312,2023,8.24,622,0,256,46,0.10,53,1,0.08,135,26,17,88,1,0.09,-,-
54,Andaman & Nicobar Islands,South Andaman,Corbyn'S Cove (Port Blair),92.7460,11.6425,2023,7.70,713,0,281,78,0.13,30,0,0.00,230,52,24,66,2,0.00,-,-
55,Andaman & Nicobar Islands,South Andaman,Dandaspoint,92.7074,11.6704,2023,8.27,339,0,146,35,0.09,3,5,0.00,150,28,19,12,1,2.76,-,-
56,Andaman & Nicobar Islands,South Andaman,Dhannikhari,92.6671,11.6126,2023,8.24,355,0,61,78,0.00,8,2,0.06,70,14,9,45,10,0.30,-,-
57,Andaman & Nicobar Islands,South Andaman,Dollyganj Chowk,92.7228,11.6343,2023,8.23,591,0,287,21,0.18,29,0,0.06,185,24,30,41,1,0.00,-,-
58,Andaman & Nicobar Islands,South AndaS.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(µS/cm,"at,CO3","(mg/L),HCO3,Cl","(mg/L),F","(mg/L),SO4,NO3,PO4,Total","Hardness,Ca","(mg/L),Mg","(mg/L),Na","(mg/L),K","(mg/L),Fe","(ppm),As","(ppb),U",(ppb)
.13,-,-
60,Andaman & Nicobar Islands,South Andaman,Garacharma,92.7095,11.6137,2023,8.00,695,0,299,60,0.15,29,0,0.00,250,42,35,37,3,0.31,-,-
61,Andaman & Nicobar Islands,South Andaman,Govindanagar Vill No - 1,92.9972,12.0302,2023,7.92,809,0,226,135,0.09,25,4,0.06,215,30,34,98,3,0.00,-,-
62,Andaman & Nicobar Islands,South Andaman,Govindanagar Vill No - 3,93.0036,12.0232,2023,8.06,413,0,214,25,0.57,8,2,0.08,125,18,19,38,3,0.00,-,-
63,Andaman & Nicobar Islands,South Andaman,Gupta Para,92.6587,11.5599,2023,8.20,371,0,153,18,0.00,32,2,0.02,140,24,19,22,2,0.00,-,-
64,Andaman & Nicobar Islands,South Andaman,Haddo – 2,92.7279,11.7685,2023,8.27,617,0,214,82,0.07,27,1,0.02,240,16,49,34,1,0.17,-,-
65,Andaman & Nicobar Islands,South Andaman,Hasmatabad,92.6455,11.5944,2023,8.11,343,0,183,18,0.09,5,3,0.00,160,30,21,12,2,0.40,-,-
66,Andaman & Nicobar Islands,South Andaman,Havelock Island Jetty,92.9810,12.0413,2023,7.85,1169,0,226,135,0.60,242,2,0.07,335,26,66,118,7,0.00,-,-
67,Andaman & Nicobar Islands,South Andaman,Herbertabad,92.6151,11.7082,2023,8.23,198,0,92,18,0.15,4,2,0.06,80,20,7,9,2,0.00,-,-
68,Andaman & Nicobar Islands,South Andaman,Hope Town (Maremon Temple),92.7272,11.6981,2023,8.29,635,0,171,78,0.46,47,28,0.09,235,24,43,38,8,0.00,-,-
69,Andaman & Nicobar Islands,South Andaman,Junglighat (Vip Road),92.7352,11.6576,2023,8.29,461,0,153,60,0.11,27,0,0.00,170,30,23,28,1,0.57,-,-
70,Andaman & Nicobar Islands,South Andaman,Kalapathar,93.0059,11.9749,2023,7.97,852,0,195,174,0.00,0,7,0.05,200,18,38,106,5,0.22,-,-
71,Andaman & Nicobar Islands,South Andaman,Kanyapuram,92.7069,11.7367,2023,8.09,504,0,189,50,0.35,17,14,0.04,200,24,34,20,1,0.00,-,-
72,Andaman & Nicobar Islands,South Andaman,Kodiaghat,92.7277,11.5452,2023,8.14,278,0,122,18,0.07,4,0,0.00,105,30,7,12,0,0.00,-,-
73,Andaman & Nicobar Islands,South Andaman,Krishnanagar,92.9766,12.0018,2023,8.10,368,0,171,25,0.22,20,2,0.10,150,24,22,20,1,0.13,-,-
74,Andaman & Nicobar Islands,South Andaman,Lamba Line,92.7495,11.6593,2023,8.16,389,0,110,82,0.00,0,2,0.07,115,8,23,42,5,1.29,-,-
75,Andaman & Nicobar Islands,South Andaman,Laxmanpur,93.0171,11.8320,2023,8.12,324,0,153,25,0.42,0,1,0.04,60,18,4,45,2,0.22,-,-
76,Andaman & Nicobar Islands,South Andaman,Light House,92.7378,11.6681,2023,8.22,812,0,390,50,0.38,27,2,0.00,200,12,41,99,4,0.00,-,-
77,Andaman & Nicobar Islands,South Andaman,Mamyo,92.6330,11.5979,2023,8.24,167,0,61,11,0.00,11,3,0.01,50,18,1,12,3,0.00,-,-
78,Andaman & Nicobar Islands,South Andaman,Manglutan,92.6602,11.5714,2023,8.09,129,0,24,14,0.25,17,3,0.02,45,8,6,8,0,0.00,-,-
79,Andaman & Nicobar Islands,South Andaman,Manjeri,92/6501767,11.5393,2023,8.30,732,0,336,39,0.41,33,10,0.02,295,16,62,30,5,0.00,-,-
80,Andaman & Nicobar Islands,South Andaman,Mannarghat,92.7061,11.7685,2023,8.13,397,0,159,14,0.30,50,15,0.06,155,18,27,22,1,0.09,-,-
81,Andaman & Nicobar Islands,South Andaman,Marina Park,92.7463,11.6711,2023,7.84,418,0,195,25,0.24,21,0,0.01,180,22,30,22,1,1.40,-,-
82,Andaman & Nicobar Islands,South Andaman,Mile Tilak,92.6557,11.7947,2023,8.21,766,0,305,82,0.00,28,1,0.08,170,18,30,100,7,0.00,-,-
83,Andaman & Nicobar Islands,South Andaman,Mithakhari,92.6734,11.6681,2023,8.26,1674,0,464,230,0.00,152,10,0.01,320,20,66,247,6,0.00,-,-
84,Andaman & Nicobar Islands,South Andaman,Mount Harriyat,92.7326,11.7194,2023,8.23,123,0,43,11,0.07,5,8,0.00,40,12,2,10,2,6.06,-,-
S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
85,Andaman & Nicobar Islands,South Andaman,Namunagar,92.6802,11.6905,2023,8.19,412,0,165,32,0.18,34,2,0.09,175,16,33,15,2,2.81,-,-
86,Andaman & Nicobar Islands,South Andaman,Nayasahar,92.6767,11.5790,2023,8.22,252,0,73,35,0.00,0,9,0.09,80,28,2,16,2,0.09,-,-
87,Andaman & Nicobar Islands,South Andaman,Neil Kendra,93.0293,11.8332,2023,8.12,460,0,177,71,0.00,0,2,0.02,155,16,28,38,6,0.00,-,-
88,Andaman & Nicobar Islands,South Andaman,New Bimliton,92.6963,11.5713,2023,8.17,439,0,110,53,0.00,47,0,0.02,150,14,28,27,5,0.13,-,-
89,Andaman & Nicobar Islands,South Andaman,Ograbraj,92.6612,11.6555,2023,7.70,2532,0,531,606,0.28,92,1,0.00,460,76,66,394,25,0.18,-,-
90,Andaman & Nicobar Islands,South Andaman,Pearl Park Resort,93.0144,11.8454,2023,8.03,485,0,250,18,0.38,24,2,0.05,235,18,46,11,0,0.09,-,-
91,Andaman & Nicobar Islands,South Andaman,Port Blair,92.7440,11.6706,2023,8.04,818,0,323,64,0.14,66,12,0.00,300,56,39,61,11,0.00,-,-
92,Andaman & Nicobar Islands,South Andaman,Port Blair (Dobhi Well),92.7349,11.6710,2023,8.04,577,0,281,25,0.21,30,0,0.01,220,30,35,28,0,0.00,-,-
93,Andaman & Nicobar Islands,South Andaman,Port Mout,92.6599,11.6433,2023,8.03,388,0,189,21,0.24,15,5,0.00,185,26,29,9,2,0.22,-,-
94,Andaman & Nicobar Islands,South Andaman,Radhanagar,92.9536,11.9918,2023,8.03,509,0,195,50,0.30,28,0,0.10,200,20,36,24,4,0.30,-,-
95,Andaman & Nicobar Islands,South Andaman,Ramnagar,93.0453,11.8172,2023,8.22,380,0,134,53,0.00,12,0,0.07,150,30,18,16,3,0.00,-,-
96,Andaman & Nicobar Islands,South Andaman,Rangachang,92.7370,11.5793,2023,7.99,418,0,214,21,0.00,6,2,0.01,150,28,19,31,2,0.09,-,-
97,Andaman & Nicobar Islands,South Andaman,Ross Island,92.7638,11.6758,2023,8.08,768,0,238,103,0.37,32,16,0.03,190,42,21,100,3,0.22,-,-
98,Andaman & Nicobar Islands,South Andaman,Saitankhari,92.6661,11.7172,2023,8.20,491,0,232,39,0.16,21,0,0.00,215,38,29,19,2,0.26,-,-
99,Andaman & Nicobar Islands,South Andaman,Shadipur (Port Blair),92.7435,11.6565,2023,7.96,592,0,262,46,0.18,31,10,0.00,210,36,29,44,4,0.00,-,-
100,Andaman & Nicobar Islands,South Andaman,Shoal  Bay – 8 No.,92.7172,11.8133,2023,8.01,144,0,43,21,0.17,7,0,0.05,40,6,6,13,1,8.55,-,-
101,Andaman & Nicobar Islands,South Andaman,Shoal  Bay– 12 No.,92.7303,11.8472,2023,7.98,340,0,116,46,0.07,0,2,0.08,65,18,5,46,1,0.00,-,-
102,Andaman & Nicobar Islands,South Andaman,Shoal  Bay– 15 No.,92.7364,11.8656,2023,8.13,202,0,79,21,0.00,6,1,0.05,90,20,10,7,1,0.26,-,-
103,Andaman & Nicobar Islands,South Andaman,Sippighat,92.6857,11.6032,2023,7.89,624,0,281,64,0.10,6,1,0.00,250,56,27,39,2,0.35,-,-
104,Andaman & Nicobar Islands,South Andaman,Sitanagar,93.0608,11.8201,2023,7.96,615,0,116,99,0.01,49,0,0.07,170,32,22,61,3,0.00,-,-
105,Andaman & Nicobar Islands,South Andaman,South Point (Port Blair),92.7538,11.6641,2023,8.29,420,0,220,32,0.05,5,0,0.00,165,30,22,26,2,0.00,-,-
106,Andaman & Nicobar Islands,South Andaman,Steuwartganj,92.7097,11.7242,2023,8.22,506,0,244,14,0.00,42,0,0.03,230,22,43,11,3,0.13,-,-
107,Andaman & Nicobar Islands,South Andaman,Teylarabad,92.7009,11.6073,2023,8.28,260,0,92,35,0.00,0,3,0.03,85,16,11,18,7,0.13,-,-
108,Andaman & Nicobar Islands,South Andaman,Tirur,92.6156,11.7338,2023,8.07,175,0,61,28,0.39,3,2,0.06,50,8,7,19,2,2.28,-,-
109,Andaman & Nicobar Islands,South Andaman,Tushnabad,92.6362,11.6791,2023,8.22,838,0,104,53,0.30,231,14,0.05,200,16,39,101,2,0.04,-,-
110,Andaman & Nicobar Islands,South Andaman,Vijaynagar,93.0093,11.9992,2023,8.03,539,0,140,103,0.00,0,5,0.02,155,20,26,56,5,0.00,-,-
111,Andaman & Nicobar Islands,South Andaman,Wandur – 2,92.6166,11.5878,2023,8.30,1910,0,695,245,0.34,42,12,0.01,365,50,58,242,12,3.44,-,-
112,Andaman & Nicobar Islands,South Andaman,Wimberleyganj,92.7072,11.7403,2023,8.00,451,0,214,18,0.09,28,1,0.00,165,26,24,29,4,0.61,-,-
113,Andaman & Nicobar Islands,South Andaman,Wrightmyo,92.7087,11.7793,2023,8.21,75,0,18,7,0.00,9,1,0.10,15,4,1,7,3,0.00,-,-
114,Arunachal Pradesh,Changlang,Jairampur,96.0144,27.3561,2023,7.29,265,0,165,23,0.08,21,0,-,160,32,19,11,4,1.01,0.09,0.06
115,Arunachal Pradesh,Changlang,Namchik,95.9720,27.4146,2023,7.29,279,0,165,40,0.07,17,0,-,155,30,19,12,4,0.17,1.07,0.05
116,Arunachal Pradesh,Changlang,Namphai,96.1086,27.4461,2023,7.26,261,0,177,10,0.06,18,0,-,150,36,15,12,4,0.09,0.01,0.01
117,Arunachal Pradesh,Changlang,Newlisan Kharsang,96.0418,27.4269,2023,7.24,260,0,159,23,0.06,18,0,-,150,38,13,12,4,0.95,0.45,0.03
118,Arunachal Pradesh,East Siang,Pasighat New,95.3358,28.0362,2023,7.99,466,0,232,27,0.07,31,2,-,230,58,21,13,40,0.01,0.00,0.03
119,Arunachal Pradesh,East Siang,Oyan,95.3183,27.8902,2023,7.90,469,0,238,36,0.06,38,3,-,225,58,19,13,40,0.6SS.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(µS/cm,"at,CO3","(mg/L),HCO3,Cl","(mg/L),F","(mg/L),SO4,NO3,PO4,Total","Hardness,Ca","(mg/L),Mg","(mg/L),Na","(mg/L),K","(mg/L),Fe","(ppm),As","(ppb),U",(ppb)
,16,12,4,0.87,0.29,0.08
122,Arunachal Pradesh,Papumpare,Banderedewa I,93.8258,27.1053,2023,7.78,204,0,147,17,0.03,6,5,-,130,44,5,10,3,0.31,0.01,0.00
123,Arunachal Pradesh,Tirap,Deomali,95.4628,27.1966,2023,7.74,216,0,140,17,0.03,6,7,-,155,38,15,11,3,3.36,0.06,0.01
124,Arunachal Pradesh,Tirap,Borduria,95.4131,27.1152,2023,7.68,212,0,147,17,0.03,8,8,-,95,34,2,15,4,3.22,0.00,0.07
125,Arunachal Pradesh,Tirap,Hukanjuri,95.4377,27.1258,2023,7.73,212,0,147,10,0.03,6,7,-,125,30,12,11,3,0.01,0.06,0.06
126,Assam,Baksa,Anandapur C-Block,91.4042,26.6800,2023,7.63,149,0,79,10,0.07,9,4,-,60,18,4,5,13,0.90,1.85,0.07
127,Assam,Baksa,Bhebla,91.2393,26.6506,2023,7.76,625,0,165,17,0.16,6,4,-,115,22,15,7,30,1.02,0.28,0.19
128,Assam,Baksa,Deusunga Ambarishnagar,91.7078,26.7566,2023,7.47,384,0,256,13,0.06,24,2,-,230,60,19,16,28,1.29,4.34,0.12
129,Assam,Baksa,Gyati Gaon,90.9992,26.6594,2023,7.55,234,0,165,10,0.04,9,1,-,140,30,16,15,15,0.94,2.01,0.01
130,Assam,Baksa,Hadukata,91.1004,26.6086,2023,6.55,156,0,98,17,0.04,1,1,-,60,16,5,13,28,1.10,3.89,0.04
131,Assam,Baksa,Kumarikata,91.5561,26.7316,2023,7.48,646,0,287,17,0.10,17,8,-,235,66,17,12,14,0.67,0.10,0.98
132,Assam,Baksa,Lokpala,91.3984,26.6203,2023,6.80,121,0,67,20,0.04,8,4,-,40,14,1,20,9,0.99,3.96,0.17
133,Assam,Baksa,Naukata,91.7233,26.6470,2023,7.25,401,0,269,13,0.04,19,2,-,230,46,28,16,27,1.13,0.59,1.52
134,Assam,Baksa,Simla,91.0442,26.6498,2023,7.76,532,0,305,43,0.14,28,18,-,205,44,23,28,76,0.98,0.03,0.02
135,Assam,Baksa,Sonapur (Doomni),91.3065,26.7137,2023,6.80,414,0,122,43,0.03,32,34,-,135,34,12,22,20,0.19,0.91,0.04
136,Assam,Baksa,Tamulpur,91.5709,26.6289,2023,7.19,152,0,110,13,0.05,2,1,-,90,28,5,10,18,0.43,3.00,0.02
137,Assam,Bongaigaon,Baitamari,90.5175,26.3472,2023,7.19,148,0,79,17,0.06,10,5,-,65,18,5,8,5,0.51,0.02,0.04
138,Assam,Bongaigaon,Manikpur,90.8017,26.4686,2023,6.79,381,0,140,40,0.05,38,3,-,115,40,4,35,15,1.01,1.59,2.00
139,Assam,Bongaigaon,Medhipara Deo,90.6310,26.3483,2023,6.83,119,0,79,7,0.04,1,2,-,60,4,12,4,20,3.01,3.07,0.01
140,Assam,Cachar,Silcoorie,92.7861,24.7261,2023,7.52,304,0,31,56,0.01,26,13,-,50,6,8,33,26,1.97,1.99,0.14
141,Assam,Cachar,Digharkhal,92.5128,24.9992,2023,6.37,178,0,37,23,0.07,24,17,-,55,14,5,21,3,1.02,3.02,0.87
142,Assam,Cachar,Poilapul,93.1247,24.8319,2023,6.24,192,0,61,40,0.10,9,7,-,50,16,2,21,7,1.41,0.77,0.08
143,Assam,Cachar,Tarapur,92.9794,24.8297,2023,6.63,210,0,18,36,0.00,12,42,-,80,18,8,5,12,0.05,0.05,0.99
144,Assam,Cachar,Kalain,92.4086,24.9681,2023,7.08,270,0,122,23,0.31,0,21,-,140,48,5,14,9,0.23,0.50,0.02
145,Assam,Cachar,Hilara,92.5906,24.9275,2023,6.46,334,0,85,76,0.08,5,5,-,90,22,8,45,2,0.98,1.77,0.03
146,Assam,Cachar,Katigora,92.5889,24.8869,2023,7.83,330,0,201,27,0.55,23,5,-,165,52,8,19,13,0.45,0.39,0.07
147,Assam,Cachar,Badribasti,92.8772,24.8128,2023,7.07,124,0,18,33,0.05,11,8,-,30,6,4,13,5,0.48,0.78,1.20
148,Assam,Cachar,Borjalinga,92.7186,24.6650,2023,7.30,83,0,43,7,0.15,2,4,-,30,10,1,3,8,0.48,0.88,0.00
149,Assam,Cachar,Fulertol,93.0053,24.7903,2023,6.53,235,0,73,17,0.17,26,12,-,75,20,6,29,5,0.73,0.56,0.03
150,Assam,Cachar,Nagdirgram,92.8797,24.6703,2023,6.94,451,0,165,70,0.36,35,10,-,205,54,17,31,4,0.97,0.91,0.07
151,Assam,Cachar,Razabazar,93.0647,24.8722,2023,6.91,191,0,85,40,0.30,15,9,-,60,16,5,28,8,0.94,0.22,0.02
152,Assam,Cachar,Masimpur,92.7269,24.9403,2023,6.60,300,0,79,66,0.10,21,5,-,65,14,7,42,1,0.74,0.65,0.01
153,Assam,Cachar,Moinarbond,92.8358,24.8533,2023,6.84,337,0,85,46,0.19,23,2,-,135,44,6,23,4,2.04,10.51,0.07
154,Assam,Darrang,Konakat,92.1910,26.5330,2023,6.82,587,0,55,99,0.05,31,42,-,200,44,22,41,5,0.86,0.24,0.60
155,Assam,Darrang,Mangaldoi,92.0170,26.4314,2023,7.46,858,0,446,83,0.12,25,14,-,310,54,42,76,38,0.52,2.09,0.08
156,Assam,Dhubri,Dhubri Town,89.9911,26.0200,2023,8.05,612,0,360,63,0.21,20,5,-,270,82,16,46,10,0.03,2.04,1.09
157,Assam,Dhubri,Shapamari Beat,90.3750,26.2383,2023,7.90,33,0,37,13,0.03,6,1,-,50,10,6,4,3,0.02,0.16,0.04
158,Assam,Dibrugarh,Barbaruah,94.8787,27.3987,2023,7.13,105,0,67,10,0.15,12,1,-,65,24,1,4,3,0.17,0.90,0.00
159,Assam,Dibrugarh,Jaipur Naharani,95.2381,27.2550,2023,7.40,101,0,61,7,0.16,12,0,-,55,8,8,4,3,0.08,0.71,0.42
160,Assam,Dibrugarh,Azarguri Gaon,94.8903,27.2617,2023,7.58,110,0,55,7,0.17,17,0,-,65,8,11,4,3,0.09,0.06,0.39
161,Assam,Dibrugarh,Dikom,95.0692,27.4600,2023,7.62,102,0,55,10,0.17,11,1,-,65,12,8,4,3,0.07,0.01,0.09
